M1450_start M1450_end  z_start    z_end     sel.
 -27.800  -27.700    2.150    2.200   0.0000
 -27.800  -27.700    2.200    2.250   0.0000
 -27.800  -27.700    2.250    2.300   0.0000
 -27.800  -27.700    2.300    2.350   0.0000
 -27.800  -27.700    2.350    2.400   0.0000
 -27.800  -27.700    2.400    2.450   0.0000
 -27.800  -27.700    2.450    2.500   0.0000
 -27.800  -27.700    2.500    2.550   0.0000
 -27.800  -27.700    2.550    2.600   0.0000
 -27.800  -27.700    2.600    2.650   0.0000
 -27.800  -27.700    2.650    2.700   0.0000
 -27.800  -27.700    2.700    2.750   0.0000
 -27.800  -27.700    2.750    2.800   0.0000
 -27.800  -27.700    2.800    2.850   0.0000
 -27.800  -27.700    2.850    2.900   0.0000
 -27.800  -27.700    2.900    2.950   0.0000
 -27.800  -27.700    2.950    3.000   0.0050
 -27.800  -27.700    3.000    3.050   0.0000
 -27.800  -27.700    3.050    3.100   0.0050
 -27.800  -27.700    3.100    3.150   0.0200
 -27.800  -27.700    3.150    3.200   0.0450
 -27.800  -27.700    3.200    3.250   0.0850
 -27.800  -27.700    3.250    3.300   0.2050
 -27.800  -27.700    3.300    3.350   0.4050
 -27.800  -27.700    3.350    3.400   0.5700
 -27.800  -27.700    3.400    3.450   0.7200
 -27.800  -27.700    3.450    3.500   0.7000
 -27.800  -27.700    3.500    3.550   0.8250
 -27.800  -27.700    3.550    3.600   0.9050
 -27.800  -27.700    3.600    3.650   0.9750
 -27.800  -27.700    3.650    3.700   0.9900
 -27.800  -27.700    3.700    3.750   0.9950
 -27.800  -27.700    3.750    3.800   0.9900
 -27.800  -27.700    3.800    3.850   1.0000
 -27.800  -27.700    3.850    3.900   0.9950
 -27.800  -27.700    3.900    3.950   0.9650
 -27.800  -27.700    3.950    4.000   0.9450
 -27.800  -27.700    4.000    4.050   0.9450
 -27.800  -27.700    4.050    4.100   0.9550
 -27.800  -27.700    4.100    4.150   0.9600
 -27.800  -27.700    4.150    4.200   0.9350
 -27.800  -27.700    4.200    4.250   0.9200
 -27.800  -27.700    4.250    4.300   0.8800
 -27.800  -27.700    4.300    4.350   0.8950
 -27.800  -27.700    4.350    4.400   0.8250
 -27.800  -27.700    4.400    4.450   0.8850
 -27.800  -27.700    4.450    4.500   0.9350
 -27.800  -27.700    4.500    4.550   0.9900
 -27.800  -27.700    4.550    4.600   0.9900
 -27.700  -27.600    2.000    2.050   0.0000
 -27.700  -27.600    2.050    2.100   0.0000
 -27.700  -27.600    2.100    2.150   0.0000
 -27.700  -27.600    2.150    2.200   0.0000
 -27.700  -27.600    2.200    2.250   0.0000
 -27.700  -27.600    2.250    2.300   0.0000
 -27.700  -27.600    2.300    2.350   0.0000
 -27.700  -27.600    2.350    2.400   0.0000
 -27.700  -27.600    2.400    2.450   0.0050
 -27.700  -27.600    2.450    2.500   0.0000
 -27.700  -27.600    2.500    2.550   0.0000
 -27.700  -27.600    2.550    2.600   0.0000
 -27.700  -27.600    2.600    2.650   0.0050
 -27.700  -27.600    2.650    2.700   0.0000
 -27.700  -27.600    2.700    2.750   0.0000
 -27.700  -27.600    2.750    2.800   0.0050
 -27.700  -27.600    2.800    2.850   0.0050
 -27.700  -27.600    2.850    2.900   0.0000
 -27.700  -27.600    2.900    2.950   0.0000
 -27.700  -27.600    2.950    3.000   0.0100
 -27.700  -27.600    3.000    3.050   0.0150
