Title: Self-Consistent Models of the Agn and Black Hole Populations: Duty 
       Cycles, Accretion Rates, and the Mean Radiative Efficiency  
Authors: Shankar F., Weinberg D.H., Miralda-Escude J. 
Table: Black Hole Mass Functions
================================================================================
Byte-by-byte Description of file: apj290759t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label    Explanations
--------------------------------------------------------------------------------
   1-  8 F8.6   ---       z        Redshift
  10- 17 F8.6   [solMass] logM     Log of black hole mass 
  19- 27 F9.6   [Mpc-3]   logP     Log reference black hole mass function
  29- 37 F9.6   [Mpc-3]   logPnoCT Log reference black hole mass function with
                                    no Compton-thick sources (1)
  39- 47 F9.6   [Mpc-3]   logPDCT  Log reference black hole mass function with
                                    double Compton-thick sources (2)
  49- 57 F9.6   [Mpc-3]   logPHRH  Log reference black hole mass function 
                                    with HRH07 luminosity function (3)
  59- 67 F9.6   [Mpc-3]   logPExt  Log reference black hole mass function with
                                    modified HRH07 (4)
--------------------------------------------------------------------------------
Note (1): (i.e., with logNH/cm^−2^ > 24).
Note (2): (i.e., with logNH/cm^−2^ {<=} 26).
Note (3): where HRH07 is Hopkins, Richards & Hernquist (2007).
Note (4): Obtained adopting the Hopkins, Richards & Hernquist (2007) luminosity
          function with {epsilon} = 0.09 and mdot = 1, as in Figure 8d.
--------------------------------------------------------------------------------
2.000000 8.800000 -3.838116 -3.937406 -3.730708 -3.645097 -3.778814 
2.000000 9.000000 -4.052529 -4.148760 -3.947506 -3.792517 -4.074367 
2.000000 9.200000 -4.353506 -4.446795 -4.250639 -4.024996 -4.418494 
2.000000 9.400000 -4.687646 -4.777780 -4.586831 -4.328546 -4.788123 
2.000000 9.600000 -5.029046 -5.115937 -4.930281 -4.677343 -5.168930 
2.240000 5.000000 -2.664194 -2.789393 -2.544169 -2.529739 -2.462558 
2.240000 5.200000 -2.793450 -2.918600 -2.673326 -2.601743 -2.534263 
2.240000 5.400000 -2.918915 -3.044014 -2.798690 -2.673626 -2.605805 
2.240000 5.600000 -3.040768 -3.165815 -2.920440 -2.745387 -2.677151 
2.240000 5.800000 -3.159081 -3.284075 -3.038647 -2.817029 -2.748243 
2.240000 6.000000 -3.273509 -3.398447 -3.152963 -2.888542 -2.818985 
2.240000 6.200000 -3.382575 -3.507465 -3.261900 -2.959904 -2.889229 
2.240000 6.400000 -3.482551 -3.607661 -3.361569 -3.031056 -2.958751 
2.240000 6.600000 -3.564979 -3.692433 -3.442416 -3.101876 -3.027218 
2.240000 6.800000 -3.616124 -3.751174 -3.488967 -3.172143 -3.094150 
2.240000 7.000000 -3.631819 -3.774489 -3.500163 -3.241470 -3.158799 
2.240000 7.200000 -3.623992 -3.765816 -3.492546 -3.309299 -3.220143 
2.240000 7.400000 -3.605285 -3.740802 -3.477083 -3.374803 -3.276740 
2.240000 7.600000 -3.593358 -3.722086 -3.468710 -3.436814 -3.326951 
2.240000 7.800000 -3.604552 -3.727375 -3.482942 -3.493778 -3.369992 
2.240000 8.000000 -3.647588 -3.765381 -3.528464 -3.543911 -3.408903 
2.240000 8.200000 -3.719686 -3.832899 -3.602694 -3.586631 -3.456141 
2.240000 8.400000 -3.796060 -3.904183 -3.681253 -3.625787 -3.536718 
2.240000 8.600000 -3.856686 -3.959235 -3.744510 -3.675050 -3.680434 
2.240000 8.800000 -3.960360 -4.058656 -3.850969 -3.760801 -3.902445 
2.240000 9.000000 -4.172529 -4.267822 -4.065676 -3.913361 -4.193379 
2.240000 9.200000 -4.472275 -4.564667 -4.367656 -4.145377 -4.529698 
2.240000 9.400000 -4.806438 -4.895679 -4.703868 -4.443599 -4.890190 
2.240000 9.600000 -5.148247 -5.234231 -5.047696 -4.784371 -5.261497 
2.510000 5.000000 -2.776109 -2.900900 -2.655271 -2.695085 -2.625606 
2.510000 5.200000 -2.905267 -3.029996 -2.784305 -2.763783 -2.694081 
2.510000 5.400000 -3.030563 -3.155226 -2.909471 -2.832384 -2.762398 
2.510000 5.600000 -3.152149 -3.276745 -3.030925 -2.900893 -2.830516 
2.510000 5.800000 -3.270072 -3.394601 -3.148714 -2.969313 -2.898360 
2.510000 6.000000 -3.383972 -3.508432 -3.262476 -3.037634 -2.965802 
2.510000 6.200000 -3.492411 -3.616809 -3.370759 -3.105827 -3.032656 
2.510000 6.400000 -3.591805 -3.716394 -3.469818 -3.173817 -3.098641 
2.510000 6.600000 -3.674081 -3.800885 -3.550525 -3.241447 -3.163361 
2.510000 6.800000 -3.726142 -3.860173 -3.598100 -3.308440 -3.226274 
2.510000 7.000000 -3.743941 -3.885240 -3.611468 -3.374330 -3.286599 
2.510000 7.200000 -3.738819 -3.879259 -3.606443 -3.438471 -3.343383 
2.510000 7.400000 -3.722994 -3.857276 -3.593670 -3.499982 -3.395481 
2.510000 7.600000 -3.713856 -3.841461 -3.587893 -3.557742 -3.442017 
2.510000 7.800000 -3.727687 -3.849429 -3.604572 -3.610497 -3.483716 
2.510000 8.000000 -3.773278 -3.889980 -3.652453 -3.657285 -3.525873 
2.510000 8.200000 -3.848261 -3.960341 -3.729323 -3.699131 -3.582538 
2.510000 8.400000 -3.928994 -4.035918 -3.811859 -3.742063 -3.677135 
2.510000 8.600000 -3.993556 -4.094806 -3.878712 -3.801087 -3.833845 
2.510000 8.800000 -4.096375 -4.193363 -3.984383 -3.900567 -4.062041 
2.510000 9.000000 -4.305202 -4.399284 -4.195999 -4.064965 -4.350967 
2.510000 9.200000 -4.603131 -4.694382 -4.496291 -4.301604 -4.679523 
2.510000 9.400000 -4.937331 -5.025432 -4.832532 -4.596730 -5.029330 
2.510000 9.600000 -5.279742 -5.364562 -5.176912 -4.929256 -5.388790 
